a	a art.一;字母A
bake	bake vt.烘焙;烤 vi.烤面包 n.烘焙;烤
baked	baked adj.烘焙的
Bakelite	Bakelite n.人造树胶;胶木
baker	baker n.面包师
bakery	bakery n.面包店
bakeshop	bakeshop n.面包厂;西点面包店
baking	baking n.烘焙;一次烘焙的量
baking powder	baking powder n.发酵粉
Balaam	Balaam n.不可靠的预言人;补白
balalaika	balalaika n.俄式三弦琴
balame	balame n.平衡;平平;v.平衡
balance	balance n.平衡;差额 vi.平衡;相等 vt.称;权衡;比较;使平衡;结算;抵消
balanced	balanced adj.均衡
balancer	balancer n.秤称的人;平衡器;走绳索者
balboa	balboa n.巴拿马的银币
balbriggan	balbriggan n.棉织物的一种;棉质袜子
balcony	balcony n.阳台;包厢
bald	bald a.秃头;光秃的;单调的;赤裸的
baldachin	baldachin n.织锦;天盖;庙盖
balderdash	balderdash n.胡言乱语;梦呓
baldhead	baldhead n.秃头的人;鸽的一种
baldly	baldly ad.率直地;露骨地;无隐饰地
baldness	baldness n.光秃;率直;枯燥
baldpate	baldpate n.秃头的人
baldric	baldric n.佩饰;肩带
bale	bale n.包;捆;货物;灾难 vt.打包;捆包;包装
baleen	baleen n.鲸须
balefire	balefire n.大野火;烽火;焚化尸体的火
baleful	baleful a.有害的;恶意的
Bali	Bali n.巴里岛
Balinese	Balinese a.巴里岛的;巴里语的 n.巴里语
balk	balk n.障碍;错误;失败 vt.阻止;突然停止;退缩 vi.逡巡不前
Balkan	Balkan a.巴尔干半岛的
balkanize	balkanize vt.分割成小国;使割据
balky	balky a.停蹄不前的
ball	ball n.球;舞会;球状物 vt.vi.捏成球形
ballad	ballad n.歌谣
balladeer	balladeer n.民谣歌手
balladry	balladry n.民谣
ballast	ballast n.压载物;压舱物
ballerina	ballerina n.芭蕾舞女
ballet	ballet n.芭蕾舞
balletic	balletic a.象芭蕾舞的
balletically	balletically ad.芭蕾舞一般地
ballistic	ballistic a.弹道的
ballistics	ballistics n.弹道学;发射学
ballonet	ballonet n.小气囊
balloon	balloon n.气球 vt.使成气球状 vi.膨胀如气球;激增
ballooning	ballooning adj.膨胀的
ballot	ballot n.投票;投票用纸;抽签 vi.不记名投票;抽签 vt.投票选出;拉选票
ballotage	ballotage n.决选投票
ballottement	ballottement n.触诊子宫检胎法
ballproof	ballproof a.子弹打不穿的;防弹的
ballroom	ballroom n.舞厅;跳舞场
ballute	ballute n.减速气球
bally	bally a.可厌的;非常;极 ad.可厌地;非常地;极
ballyhoo	ballyhoo n.大肆宣传;大吹大擂;喧噪 vt.vi.大肆宣传;大吹大擂
balm	balm n.香油;香膏
balminess	balminess n.芳香;爽快
balmy	balmy a.芳香的;温和的;止痛的
baloney	baloney n.胡扯;大香肠
balsa	balsa n.一种轻质木材;筏
balsam	balsam n.香油;产香油的树;香膏
balsamic	balsamic a.香膏质的;如香油的;镇静的
Baltic	Baltic a.波罗的海的;
Baltimore	Baltimore n.美国Maryland州的一城市;巴尔的摩
baluster	baluster n.栏杆的支柱;栏杆
balustrade	balustrade n.栏杆
bombard	bombard v.轰击
bambard	bambard v.轰击
bamboo	bamboo n.竹子
bamboo shoot	bamboo shoot n.笋;竹笋
bamboozle	bamboozle vt.欺骗;迷惑
bamboozle somebody out of something	bamboozle somebody out of something v.哄骗某人不做某事
ban	ban n.禁令 vt.禁止;取缔
banal	banal a.平凡的;陈腐的
banality	banality n.平凡;陈腐
banana	banana n.香蕉
bananas	bananas n.芭蕉
banc	banc n.法官席
band	band n.带子;队;乐队 vt.vi.联合;结合
bandage	bandage n.绷带
bandbox	bandbox n.硬纸盒
bandeau	bandeau n.细丝带;束发带;宽紧调节带
bandicoot	bandicoot n.大鼠;袋鼠
bandit	bandit n.强盗
banditry	banditry n.盗贼行为;贼党
bandits	bandits n.盗贼
bandmaster	bandmaster n.乐队指挥
bandog	bandog n.拴住的狗;猛犬
bandsman	bandsman n.乐队队员
bandstand	bandstand n.音乐台;演奏台
bandwagon	bandwagon n.乐队花车;流行
bandwidth	bandwidth n.频带
bandy	bandy a.向外弯曲的 vt.打来打去;谈论;往复投掷
bane	bane n.毒药;灭亡的原因;灭亡;祸根
baneful	baneful a.有害的;使人苦恼的
bang	bang n.重击;突然巨响;刘海 vt.vi.发巨响;重击 ad.砰然地;突然巨响地;直接地
banger	banger n.香肠;鞭炮;破旧货
banging	banging ing.砰砰地敲
Bangkok	Bangkok n.曼谷
bangle	bangle n.手镯;脚镯
bani	bani n.罗辅币
banish	banish vt.驱逐;消除
banishment	banishment n.放逐;驱逐
banister	banister n.栏杆的支柱;楼梯的扶栏
banjo	banjo n.班卓琴
banjoist	banjoist n.五弦琴演奏师
bank	bank n.银行;堤;岸
bankable	bankable a.银行能接受的
bankbook	bankbook n.银行存折
banker	banker n.银行业者;挖土工人;庄家
banking	banking n.银行业
banknote	banknote n.钞票
banknotes	banknotes n.纸币
bankroll	bankroll n.资金 vt.提供资金
bankrupt	bankrupt n.破产者 a.破产了的 vt.使破产
bankruptcy	bankruptcy n.破产
banksia	banksia n.山茂木坚
banner	banner n.旗帜 a.领先的;优越的
bannerol	bannerol n.小旗;葬旗
bannock	bannock n.一种薄饼
banns	banns n.结婚预告
banquet	banquet n.宴会
banqueting hall	banqueting hall n.宴会厅
bantam	bantam n.矮脚鸡
bantamweight	bantamweight n.最轻量级的选手
banter	banter n.戏谑;嘲弄 vt.vi.戏弄;开玩笑
banteringly	banteringly ad.嘲弄地;半开玩笑地;戏虐地
banting	banting n.减肥疗法
bantling	bantling n.婴孩;小孩
bantu	bantu n.班图人;班图语
banyan	banyan n.菩提树
banzai	banzai n.万岁
baobab	baobab n.非洲产的一种巨树
bap	bap n.小型(卷式)面包
baptism	baptism n.施洗;洗礼
baptismal	baptismal a.洗礼的
Baptist	Baptist n.施洗者约翰;施洗者;浸信会教友
baptize	baptize vt.施洗礼;提炼;命名
bar	bar n.条;棒;酒吧;栅;障碍物 vt.禁止;阻挡;妨碍
barb	barb n.倒钩 vt.装倒钩
Barbados	Barbados n.巴贝多
Barbara	Barbara n.芭芭拉
barbarian	barbarian n.野蛮人 a.野蛮的
barbarians	barbarians n.夷狄
barbaric	barbaric a.野蛮的;粗野的
barbarism	barbarism n.野蛮;未开化
barbarity	barbarity n.残暴的行为;残忍;粗鄙
barbarization	barbarization n.野蛮化
barbarize	barbarize vt.vi.野蛮(化)
barbarous	barbarous a.野蛮的
barbary	barbary n.北非回教地域
barbate	barbate a.有须的;
barbecue	barbecue n.烤肉 vt.烤肉;烧烤
barbed	barbed a.有刺的
barbel	barbel n.触须白鱼之类
barbell	barbell n.一种运动器械;杠铃
barber	barber n.理发师
barberry	barberry n.伏牛花;伏牛花子
barbette	barbette n.炮座;露炮塔;炮塔
barbitone	barbitone n.巴比妥
barbiturate	barbiturate n.巴比妥酸盐
barbule	barbule n.鸟的小羽枝
Barcelona	Barcelona n.巴赛隆纳
bard	bard n.吟游诗人
bardolatry	bardolatry n.莎士比亚崇拜
bare	bare a.赤裸的;极少的;无遮蔽的;坦率的 vt.使赤裸;露出
bareback	bareback a.无鞍的 ad.不用马鞍地
barefaced	barefaced a.公然的;无耻的;无面具的
barefoot	barefoot a.赤脚的
barehanded	barehanded a.赤手空拳的
bareheaded	bareheaded a.不戴帽子的 ad.不戴帽地
barely	barely ad.几乎不能
bareness	bareness n.赤裸;裸露
barf	barf vt.vi.呕吐
barfly	barfly n.常赴酒吧的人
bargain	bargain n.交易;买卖;物美价廉的东西 vt.vi.议价;交易
bargainer	bargainer n.买卖约定者
bargaining	bargaining n.交易;契约;交涉
bargains	bargains n.特价品
barge	barge n.舢板 vt.用船运输 vi.蹒跚;闯入
bargeboard	bargeboard n.山形墙桁端的盖板
bargeman	bargeman n.平底货船的船员;游艇船员
bargraph	bargraph n.长条图
barhop	barhop vi.从这家喝到那家
baric	baric a.含有钡的;钡的;气压的
barite	barite n.重晶石
baritone	baritone n.男中音;男中音歌手;低音的铜管乐器
barium	barium n.钡
bark	bark n.树皮;吠声 vi.吠;叫骂 vt.喊出;剥树皮
bark up the wrong tree	bark up the wrong tree v.攻击错了目标
barkeeper	barkeeper n.酒吧老板;酒保
barkentine	barkentine n.三桅船
barker	barker n.叫客员
barking dogs do not bite.	barking dogs do not bite. st.吠犬不咬人.
barley	barley n.大麦
barleycorn	barleycorn n.大麦的粒
barm	barm n.泡状酵母
barmaid	barmaid n.酒吧女;酒吧女服务员
barman	barman n.酒保
barmy	barmy a.发酵的
barn	barn n.谷仓
barnacle	barnacle n.一种北极鹅;藤壶
barnacles	barnacles n.眼镜
barnstorm	barnstorm vi.vt.在全国巡回演出;在乡区作演说旅行
barnstormer	barnstormer n.江湖艺人;次等艺人;乡区演说家
barnyard	barnyard n.谷仓前的院地;周围的院地
barogram	barogram n.气压图
barograph	barograph n.自动记录式气压计
barometer	barometer n.气压计
barometric	barometric a.气压的
baron	baron n.男爵
baronage	baronage n.男爵辈;男爵勋位;贵族
baroness	baroness n.男爵夫人;女性男爵
baronet	baronet n.准男爵;从男爵
baronetcy	baronetcy n.从男爵爵位
baronial	baronial a.男爵的;适于男爵的;宏大的
baroque	baroque n.巴洛克时期;巴洛克式 a.巴洛克式的;怪诞的;怪异的
baroscope	baroscope n.气压计的一种
barouche	barouche n.一种四轮大马车
barque	barque n.三桅帆船;船
barrack	barrack n.兵舍;军营 vt.使驻兵营内
barracks	barracks n.兵营
barracuda	barracuda n.梭鱼类
barrage	barrage n.弹幕;掩护炮火 vt.以密集炮火进攻
barratrous	barratrous a.教唆诉讼的;欺诈的;怠慢的
barratry	barratry n.诉讼教唆;船长;船员的损害行为
barrel	barrel n.桶 vt.装入桶内
barrel-drain	barrel-drain n.排水沟
barren	barren a.不育的;贫瘠的 n.荒地
barren of	barren of a.没有...的
barrens	barrens n.瘠地
barret	barret n.小型帽子
barrette	barrette n.夹子的一种
barricade	barricade n.防卫工事;障碍 vt.设路障于;阻碍
barrier	barrier n.障碍;栅栏
barrister	barrister n.法庭律师;律师
barroom	barroom n.酒吧间
barrow	barrow n.搬运架;手推车;古墓
bartender	bartender n.酒保
barter	barter n.物物交换;实物交易 vt.vi.物物交换;交换
barter for	barter for v.以...作物物交换
bartizan	bartizan n.小望台;顶塔
Bartlett	Bartlett n.西洋梨的一种
barton	barton n.农家的庭院
barye	barye n.微巴(压力单位)
baryta	baryta n.重土;氧化钡
bas	bas n.DOS文件扩展名:BASIC程序
basal	basal a.基础的;基本的
basalt	basalt n.玄武岩
basaltic	basaltic a.玄武岩的
base	base n.底部;垒;基础;基地;低音 vt.以...作基础 a.卑鄙的;低级的
baseball	baseball n.棒球
baseboard	baseboard n.护壁板;脚板
baseborn	baseborn a.出身微贱的;庶生的
based	based v.立基于;以...为基础 vbl.建立;装置
baseless	baseless a.无根据的
baseline	baseline n.基线
basely	basely ad.下贱地;卑鄙地
baseman	baseman n.一(二、三)垒手
basement	basement n.地下室;墙脚
baseness	baseness n.卑鄙;下贱
bases	bases n.基础;根据;主要成分
bash	bash vt.vi.怒殴;打坏 n.怒殴;猛击
basher	basher n.怒殴者
bashful	bashful a.害羞的
basic	basic n.基本;要素;基础 a.基本的;碱性的 n.计算机基本高级语言
basic colours	basic colours n.基本颜色
basic colors	basic colors n.基本颜色
basically	basically ad.基本上;主要地
basicity	basicity n.碱度;碱性度
basidiomycete	basidiomycete n.担子菌类
basil	basil n.罗勒
basilar	basilar a.基部的;头盖骨底部的
basilica	basilica n.长方形会堂;长方形教堂
basilisk	basilisk n.蛇怪
basin	basin n.盆地;盆
basinet	basinet n.一种轻钢盔
basis	basis n.基础;主要成分
bask	bask vi.晒太阳;舒适
basket	basket n.篮;篮子 vt.装入篮
basketball	basketball n.篮球
basketful	basketful n.满篮
basketry	basketry n.篮细工;篮
basketwork	basketwork n.编织物
Basque	Basque n.巴斯克人;巴斯克语;一种妇人用短上衣 a.巴斯克人的
bass	bass n.低音;男低音;椴树 a.低音的
basset	basset n.矮脚的一种猎犬;露出 vi.呈现;露出
bassinet	bassinet n.摇篮;摇篮车
basso	basso n.低音部;低音歌手
bassoon	bassoon n.低音管;巴颂管
bassoonist	bassoonist n.bassoon吹奏者
basswood	basswood n.椴木
bast	bast n.树的内皮;韧皮
bastard	bastard n.私生子;劣货;庶子 a.私生的;不纯的;不合标准的
bastardization	bastardization n.认定为私生子
bastardly	bastardly a.庶生的;假冒的
bastardy	bastardy n.私生子;庶出
baste	baste vt.假缝;润以油脂;涂以奶油;狠揍
bastinado	bastinado n.棒打;打脚掌的刑罚;杖 vt.打脚掌
basting	basting n.假缝;假缝的针脚;假缝用线涂油
bastion	bastion n.棱堡;阵地工事
bastioned	bastioned a.具备棱堡的
bat	bat n.蝙蝠;球棒 vt.vi.用球棒打;眨眼 n.DOS文件扩展名:批文件
Batavia	Batavia n.巴达维亚
batch	batch n.一次所烘的面包;一次所制之量;一组;批;成批;分批 n.批;成批;分批
batch program	batch program n.批处理程序
batching	batching n.批次
bate	bate vt.减弱;减少;降低;软化 n.大怒
bateau	bateau n.小舟
bateau bridge	bateau bridge n.浮桥
bath	bath n.沐浴;浴室
bathe	bathe vt.沐浴;用水洗 vi.洗澡
bathed	bathed v.vbl.沐浴
bather	bather n.入浴者;浴疗者
bathetic	bathetic a.平凡的;陈腐的;顿降的
bathhouse	bathhouse n.浴场;澡堂;更衣室
bathing	bathing n.游泳;洗海水澡
bathing suit	bathing suit n.游泳衣
batholith	batholith n.底盘
bathometer	bathometer n.水深测量计
bathos	bathos n.顿降法;陈腐的;虚伪的
bathrobe	bathrobe n.浴衣
bathroom	bathroom n.浴室;厕所
bathtub	bathtub n.浴缸
bathyconductorgrahp	bathyconductorgrahp n.深海传导图
bathysphere	bathysphere n.深海调查用球形潜水装置
batik	batik n.用蜡染色法;用蜡染色的布
batiste	batiste n.薄织的麻布
batman	batman n.小兵
baton	baton n.指挥棒;接力棒;警棍
batrachian	batrachian a.无尾两栖类的;蛙类的 n.无尾两栖动物
bats	bats a.神经不正常的;怪异的
batsman	batsman n.击球手;打者
batt	batt n.棉絮
battalion	battalion n.营;军队;集团
batten	batten n.板条;木条
batten on	batten on v.靠...养肥
batter	batter n.内倾;击球手 vt.打坏;猛击;使内倾 vi.猛击;内倾
battered	battered adj.弄垮的
batteries	batteries n.电池
battery	battery n.电池;殴打
batting	batting n.打球;打击;棉絮
battle	battle n.战争 vt.vi.战斗
battledore	battledore n.羽毛球拍
battlefield	battlefield n.战场;沙场
battlefront	battlefront n.前线
battleground	battleground n.战场;战地
battlement	battlement n.城垛;防卫墙
battleplane	battleplane n.战斗机
battleship	battleship n.战舰;主力舰
battlewagon	battlewagon n.战舰
batty	batty a.疯狂的;古怪的;蝙蝠的
bauble	bauble n.美观而无价值的东西;骗人的东西;玩具;小玩意
baud	baud n.波特
baulk	baulk n.障碍;错误;失败 vt.阻止;突然停止;退缩
bauxite	bauxite n.铁矾土;铁铝氧石
Bavarian	Bavarian a.巴伐利亚的;巴伐利亚人的 n.巴伐利亚人;巴伐利亚方言
bawd	bawd n.鸨母;妓女
bawdry	bawdry n.秽语
bawdy	bawdy a.鸨母的;妓女的;好色的
bawl	bawl n.叫骂声 vt.vi.大叫
bay	bay n.海湾;狗吠声;月桂 vt.吠;使走投无路 vi.吠
bayberry	bayberry n.月桂树的果实
bayonet	bayonet n.刺刀
bayou	bayou n.海湾;支流;河口
baywreath	baywreath n.月桂冠
bazaar	bazaar n.市集
bazoo	bazoo n.嘴;鼻;吹牛
bazooka	bazooka n.火箭炮
bb	bb n.BB机;传呼机(有时也作BP机)
bbs	bbs n.电子布告牌
bctv	bctv n.北京有线电视台
be	be prep.是;有;在
beach	beach n.海滩
beach-la-mar	beach-la-mar n.西南太平洋各岛屿流行的土腔英语
beachhead	beachhead n.滩头阵地
beachmaster	beachmaster n.登陆指挥官;陆战队的指挥官
beachy	beachy a.象海滨的;多砂砾的
beacon	beacon n.烟火;灯塔 vt.vi.照亮
bead	bead n.珠子;滴 vt.用珠装饰 vi.形成珠
beadhouse	beadhouse n.养育院;养老院
beadle	beadle n.小吏;游行领队
beadledom	beadledom n.小官吏根性
beads	beads n.念珠
beady	beady a.圆小晶亮如珠的;饰有珠子的;有泡的
beagle	beagle n.小猎犬;间谍;侦探
beak	beak n.鸟嘴
beaked	beaked a.有喙的;鸟嘴状的
beaker	beaker n.大口杯;烧杯
beam	beam n.光线;横梁;容光焕发 vi.微笑;闪亮 vt.上梁;发射
beamed	beamed a.有梁的;照耀的;广播的
beaming	beaming a.光亮的;喜气洋洋的;愉快的
